Please enter number of iterations to perform: Cno,IAT,Arrival,Abel SB,Abel ST,Abel SE,Baker SB,Baker ST,Baker SE,Queue Time,System Time,
1,0,0,0,3,3,-,-,-,0,3,
2,3,3,3,4,7,-,-,-,0,4,
3,3,6,-,-,-,6,3,9,0,3,
4,2,8,8,2,10,-,-,-,0,2,
5,4,12,12,3,15,-,-,-,0,3,
6,3,15,15,2,17,-,-,-,0,2,
7,1,16,-,-,-,16,5,21,0,5,
8,4,20,20,2,22,-,-,-,0,2,
9,2,22,22,5,27,-,-,-,0,5,
10,1,23,-,-,-,23,3,26,0,3,
11,4,27,27,3,30,-,-,-,0,3,
12,2,29,-,-,-,29,6,35,0,6,
13,4,33,33,2,35,-,-,-,0,2,
14,2,35,35,5,40,-,-,-,0,5,
15,2,37,-,-,-,37,4,41,0,4,
16,3,40,40,4,44,-,-,-,0,4,
17,2,42,-,-,-,42,4,46,0,4,
18,2,44,44,5,49,-,-,-,0,5,
19,2,46,-,-,-,46,6,52,0,6,
20,4,50,50,4,54,-,-,-,0,4,
21,3,53,-,-,-,53,5,58,0,5,
22,3,56,56,3,59,-,-,-,0,3,
23,2,58,-,-,-,58,5,63,0,5,
24,4,62,62,2,64,-,-,-,0,2,
25,3,65,65,2,67,-,-,-,0,2,
26,2,67,67,2,69,-,-,-,0,2,
27,2,69,69,4,73,-,-,-,0,4,
28,2,71,-,-,-,71,3,74,0,3,
29,1,72,73,2,75,-,-,-,1,3,
30,3,75,75,2,77,-,-,-,0,2,
31,4,79,79,3,82,-,-,-,0,3,
32,2,81,-,-,-,81,4,85,0,4,
33,2,83,83,4,87,-,-,-,0,4,
34,3,86,-,-,-,86,3,89,0,3,
35,1,87,87,2,89,-,-,-,0,2,
36,1,88,89,4,93,-,-,-,1,5,
37,1,89,-,-,-,89,4,93,0,4,
38,2,91,93,3,96,-,-,-,2,5,
39,2,93,-,-,-,93,4,97,0,4,
40,1,94,96,2,98,-,-,-,2,4,
41,2,96,-,-,-,97,4,101,1,5,
42,4,100,100,3,103,-,-,-,0,3,
43,3,103,103,2,105,-,-,-,0,2,
44,2,105,105,2,107,-,-,-,0,2,
45,2,107,107,5,112,-,-,-,0,5,
46,2,109,-,-,-,109,6,115,0,6,
47,1,110,112,2,114,-,-,-,2,4,
48,2,112,114,5,119,-,-,-,2,7,
49,2,114,-,-,-,115,4,119,1,5,
50,3,117,119,2,121,-,-,-,2,4,
51,1,118,-,-,-,119,3,122,1,4,
52,3,121,121,2,123,-,-,-,0,2,
53,4,125,125,4,129,-,-,-,0,4,
54,2,127,-,-,-,127,4,131,0,4,
55,2,129,129,2,131,-,-,-,0,2,
56,3,132,132,3,135,-,-,-,0,3,
57,2,134,-,-,-,134,3,137,0,3,
58,2,136,136,4,140,-,-,-,0,4,
59,2,138,-,-,-,138,4,142,0,4,
60,1,139,140,3,143,-,-,-,1,4,
61,3,142,-,-,-,142,3,145,0,3,
62,1,143,143,3,146,-,-,-,0,3,
63,1,144,-,-,-,145,3,148,1,4,
64,2,146,146,2,148,-,-,-,0,2,
65,4,150,150,2,152,-,-,-,0,2,
66,2,152,152,2,154,-,-,-,0,2,
67,3,155,155,3,158,-,-,-,0,3,
68,1,156,-,-,-,156,6,162,0,6,
69,1,157,158,5,163,-,-,-,1,6,
70,4,161,-,-,-,162,5,167,1,6,
71,3,164,164,3,167,-,-,-,0,3,
72,1,165,167,3,170,-,-,-,2,5,
73,1,166,-,-,-,167,3,170,1,4,
74,2,168,170,3,173,-,-,-,2,5,
75,1,169,-,-,-,170,6,176,1,7,
76,2,171,173,2,175,-,-,-,2,4,
77,4,175,175,4,179,-,-,-,0,4,
78,1,176,-,-,-,176,3,179,0,3,
79,4,180,180,2,182,-,-,-,0,2,
80,4,184,184,2,186,-,-,-,0,2,
81,2,186,186,5,191,-,-,-,0,5,
82,4,190,-,-,-,190,3,193,0,3,
83,2,192,192,4,196,-,-,-,0,4,
84,4,196,196,4,200,-,-,-,0,4,
85,2,198,-,-,-,198,3,201,0,3,
86,3,201,201,3,204,-,-,-,0,3,
87,1,202,-,-,-,202,3,205,0,3,
88,3,205,205,5,210,-,-,-,0,5,
89,2,207,-,-,-,207,6,213,0,6,
90,2,209,210,3,213,-,-,-,1,4,
91,1,210,213,2,215,-,-,-,3,5,
92,1,211,-,-,-,213,6,219,2,8,
93,4,215,215,2,217,-,-,-,0,2,
94,2,217,217,5,222,-,-,-,0,5,
95,3,220,-,-,-,220,3,223,0,3,
96,1,221,222,4,226,-,-,-,1,5,
97,3,224,-,-,-,224,4,228,0,4,
98,1,225,226,4,230,-,-,-,1,5,
99,2,227,-,-,-,228,5,233,1,6,
100,2,229,230,5,235,-,-,-,1,6,
